Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
915.388,WIDE,0,0,0,0,0,1,0
957.096,WIDE,0,0,0,0,0,1,0
998.805,WIDE,0,0,0,0,0,1,0
1040.51,WIDE,0,0,0,0,0,1,0
1082.22,WIDE,0,0,0,0,0,1,0
1123.93,WIDE,0,0,0,0,0,1,0
1165.64,WIDE,0,0,0,0,0,1,0
1207.35,WIDE,0,0,0,0,0,1,0
1249.05,WIDE,0,0,0,0,0,1,0
1290.76,WIDE,0,0,0,0,0,1,0
1332.47,WIDE,0,0,0,0,0,1,0
1374.18,WIDE,0,0,0,0,0,1,0
1415.89,WIDE,0,0,0,0,0,1,0
1457.6,WIDE,0,0,0,0,0,1,0
1499.3,WIDE,0,0,0,0,0,1,0
1541.01,WIDE,0,0,0,0,0,1,0
1582.72,WIDE,0,0,0,0,0,1,0
1624.43,WIDE,0,0,0,0,0,1,0
1666.14,WIDE,0,0,0,0,0,1,0
1707.85,WIDE,0,0,0,0,0,1,0
1749.55,WIDE,0,0,0,0,0,1,0
1791.26,WIDE,0,0,0,0,0,1,0
1832.97,WIDE,0,0,0,0,0,1,0
1874.68,WIDE,0,0,0,0,0,1,0
1916.39,WIDE,0,0,0,0,0,1,0
1958.1,WIDE,0,0,0,0,0,1,0
1999.8,WIDE,0,0,0,0,0,1,0
2041.51,WIDE,0,0,0,0,0,1,0
2083.22,WIDE,0,0,0,0,0,1,0
2124.93,WIDE,0,0,0,0,0,1,0
2166.64,WIDE,0,0,0,0,0,1,0
2208.35,WIDE,0,0,0,0,0,1,0
2250.05,WIDE,0,0,0,0,0,1,0
2291.76,WIDE,0,0,0,0,0,1,0
2333.47,WIDE,0,0,0,0,0,1,0
2375.18,WIDE,0,0,0,0,0,1,0
2416.89,WIDE,0,0,0,0,0,1,0
2458.6,WIDE,0,0,0,0,0,1,0
2500.3,WIDE,0,0,0,0,0,1,0
2542.01,WIDE,0,0,0,0,0,1,0
2583.72,WIDE,0,0,0,0,0,1,0
2625.43,WIDE,0,0,0,0,0,1,0
2667.14,WIDE,0,0,0,0,0,1,0
2708.85,WIDE,0,0,0,0,0,1,0
2750.55,WIDE,0,0,0,0,0,1,0
2792.26,WIDE,0,0,0,0,0,1,0
2833.97,WIDE,0,0,0,0,0,1,0
2875.68,WIDE,0,0,0,0,0,1,0
2917.39,WIDE,0,0,0,0,0,1,0
2959.1,WIDE,0,0,0,0,0,1,0
3000.8,WIDE,0,0,0,0,0,1,0
3042.51,WIDE,0,0,0,0,0,1,0
3084.22,WIDE,0,0,0,0,0,1,0
3125.93,WIDE,0,0,0,0,0,1,0
3167.64,WIDE,0,0,0,0,0,1,0
3209.35,WIDE,0,0,0,0,0,1,0
3251.05,WIDE,0,0,0,0,0,1,0
3292.76,WIDE,0,0,0,0,0,1,0
3334.47,WIDE,0,0,0,0,0,1,0
3376.18,WIDE,0,0,0,0,0,1,0
3417.89,WIDE,0,0,0,0,0,1,0
3459.6,WIDE,0,0,0,0,0,1,0
3501.3,WIDE,0,0,0,0,0,1,0
3543.01,WIDE,0,0,0,0,0,1,0
3584.72,WIDE,0,0,0,0,0,1,0
3626.43,WIDE,0,0,0,0,0,1,0
3668.14,WIDE,0,0,0,0,0,1,0
3709.85,WIDE,0,0,0,0,0,1,0
3751.55,WIDE,0,0,0,0,0,1,0
3793.26,WIDE,0,0,0,0,0,1,0
3834.97,WIDE,0,0,0,0,0,1,0
3876.68,WIDE,0,0,0,0,0,1,0
3918.39,WIDE,0,0,0,0,0,1,0
3960.1,WIDE,0,0,0,0,0,1,0
4001.8,WIDE,0,0,0,0,0,1,0
4043.51,WIDE,0,0,0,0,0,1,0
4085.22,WIDE,0,0,0,0,0,1,0
4126.93,WIDE,0,0,0,0,0,1,0
4168.64,WIDE,0,0,0,0,0,1,0
4210.35,WIDE,0,0,0,0,0,1,0
4252.05,WIDE,0,0,0,0,0,1,0
4293.76,WIDE,0,0,0,0,0,1,0
4335.47,WIDE,0,0,0,0,0,1,0
4377.18,WIDE,0,0,0,0,0,1,0
4418.89,WIDE,0,0,0,0,0,1,0
4460.6,WIDE,0,0,0,0,0,1,0
4502.3,WIDE,0,0,0,0,0,1,0
4544.01,WIDE,0,0,0,0,0,1,0
4585.72,WIDE,0,0,0,0,0,1,0
4627.43,WIDE,0,0,0,0,0,1,0
4669.14,WIDE,0,0,0,0,0,1,0
4710.85,WIDE,0,0,0,0,0,1,0
4752.55,WIDE,0,0,0,0,0,1,0
4794.26,WIDE,0,0,0,0,0,1,0
4835.97,WIDE,0,0,0,0,0,1,0
4877.68,WIDE,0,0,0,0,0,1,0
4919.39,WIDE,0,0,0,0,0,1,0
4961.1,WIDE,0,0,0,0,0,1,0
5002.8,WIDE,0,0,0,0,0,1,0
5044.51,WIDE,0,0,0,0,0,1,0
5086.22,WIDE,0,0,0,0,0,1,0
5127.93,WIDE,0,0,0,0,0,1,0
5169.64,WIDE,0,0,0,0,0,1,0
5211.35,WIDE,0,0,0,0,0,1,0
5253.05,WIDE,0,0,0,0,0,1,0
5294.76,WIDE,0,0,0,0,0,1,0
5336.47,WIDE,0,0,0,0,0,1,0
5378.18,WIDE,0,0,0,0,0,1,0
5419.89,WIDE,0,0,0,0,0,1,0
5461.6,WIDE,0,0,0,0,0,1,0
5503.3,WIDE,0,0,0,0,0,1,0
5545.01,WIDE,0,0,0,0,0,1,0
5586.72,WIDE,0,0,0,0,0,1,0
5628.43,WIDE,0,0,0,0,0,1,0
5670.14,WIDE,0,0,0,0,0,1,0
5711.85,WIDE,0,0,0,0,0,1,0
5753.55,WIDE,0,0,0,0,0,1,0
5795.26,WIDE,0,0,0,0,0,1,0
5836.97,WIDE,0,0,0,0,0,1,0
