Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
2502.5,UNKNOWN,0,0,0,0,0,0,0
2544.21,UNKNOWN,0,0,0,0,0,0,0
2585.92,UNKNOWN,0,0,0,0,0,0,0
2627.62,UNKNOWN,0,0,0,0,0,0,0
2669.33,UNKNOWN,0,0,0,0,0,0,0
2711.04,UNKNOWN,0,0,0,0,0,0,0
2752.75,UNKNOWN,0,0,0,0,0,0,0
2794.46,UNKNOWN,0,0,0,0,0,0,0
2836.17,UNKNOWN,0,0,0,0,0,0,0
2877.87,UNKNOWN,0,0,0,0,0,0,0
2919.58,UNKNOWN,0,0,0,0,0,0,0
2961.29,UNKNOWN,0,0,0,0,0,0,0
3003,UNKNOWN,0,0,0,0,0,0,0
3044.71,UNKNOWN,0,0,0,0,0,0,0
3086.42,UNKNOWN,0,0,0,0,0,0,0
3128.12,UNKNOWN,0,0,0,0,0,0,0
3169.83,UNKNOWN,0,0,0,0,0,0,0
3211.54,UNKNOWN,0,0,0,0,0,0,0
3253.25,UNKNOWN,0,0,0,0,0,0,0
3294.96,UNKNOWN,0,0,0,0,0,0,0
3336.67,UNKNOWN,0,0,0,0,0,0,0
3378.38,UNKNOWN,0,0,0,0,0,0,0
3420.08,UNKNOWN,0,0,0,0,0,0,0
3461.79,UNKNOWN,0,0,0,0,0,0,0
3503.5,UNKNOWN,0,0,0,0,0,0,0
3545.21,UNKNOWN,0,0,0,0,0,0,0
3586.92,UNKNOWN,0,0,0,0,0,0,0
3628.62,UNKNOWN,0,0,0,0,0,0,0
3670.33,UNKNOWN,0,0,0,0,0,0,0
3712.04,UNKNOWN,0,0,0,0,0,0,0
3753.75,UNKNOWN,0,0,0,0,0,0,0
3795.46,UNKNOWN,0,0,0,0,0,0,0
3837.17,UNKNOWN,0,0,0,0,0,0,0
3878.87,UNKNOWN,0,0,0,0,0,0,0
3920.58,UNKNOWN,0,0,0,0,0,0,0
3962.29,UNKNOWN,0,0,0,0,0,0,0
4004,UNKNOWN,0,0,0,0,0,0,0
4045.71,UNKNOWN,0,0,0,0,0,0,0
4087.42,UNKNOWN,0,0,0,0,0,0,0
4129.12,UNKNOWN,0,0,0,0,0,0,0
4170.83,UNKNOWN,0,0,0,0,0,0,0
4212.54,UNKNOWN,0,0,0,0,0,0,0
4254.25,UNKNOWN,0,0,0,0,0,0,0
4295.96,UNKNOWN,0,0,0,0,0,0,0
4337.67,UNKNOWN,0,0,0,0,0,0,0
4379.38,UNKNOWN,0,0,0,0,0,0,0
4421.08,UNKNOWN,0,0,0,0,0,0,0
4462.79,UNKNOWN,0,0,0,0,0,0,0
4504.5,UNKNOWN,0,0,0,0,0,0,0
4546.21,UNKNOWN,0,0,0,0,0,0,0
4587.92,UNKNOWN,0,0,0,0,0,0,0
4629.62,UNKNOWN,0,0,0,0,0,0,0
4671.33,UNKNOWN,0,0,0,0,0,0,0
4713.04,UNKNOWN,0,0,0,0,0,0,0
4754.75,UNKNOWN,0,0,0,0,0,0,0
4796.46,UNKNOWN,0,0,0,0,0,0,0
4838.17,UNKNOWN,0,0,0,0,0,0,0
4879.88,UNKNOWN,0,0,0,0,0,0,0
4921.58,UNKNOWN,0,0,0,0,0,0,0
4963.29,UNKNOWN,0,0,0,0,0,0,0
5005,UNKNOWN,0,0,0,0,0,0,0
5046.71,UNKNOWN,0,0,0,0,0,0,0
5088.42,UNKNOWN,0,0,0,0,0,0,0
5130.12,UNKNOWN,0,0,0,0,0,0,0
5171.83,UNKNOWN,0,0,0,0,0,0,0
5213.54,UNKNOWN,0,0,0,0,0,0,0
5255.25,UNKNOWN,0,0,0,0,0,0,0
5296.96,UNKNOWN,0,0,0,0,0,0,0
5338.67,UNKNOWN,0,0,0,0,0,0,0
5380.38,UNKNOWN,0,0,0,0,0,0,0
5422.08,UNKNOWN,0,0,0,0,0,0,0
5463.79,UNKNOWN,0,0,0,0,0,0,0
5505.5,UNKNOWN,0,0,0,0,0,0,0
5547.21,UNKNOWN,0,0,0,0,0,0,0
5588.92,UNKNOWN,0,0,0,0,0,0,0
5630.62,UNKNOWN,0,0,0,0,0,0,0
5672.33,UNKNOWN,0,0,0,0,0,0,0
5714.04,UNKNOWN,0,0,0,0,0,0,0
5755.75,UNKNOWN,0,0,0,0,0,0,0
5797.46,UNKNOWN,0,0,0,0,0,0,0
5839.17,UNKNOWN,0,0,0,0,0,0,0
5880.88,UNKNOWN,0,0,0,0,0,0,0
5922.58,UNKNOWN,0,0,0,0,0,0,0
5964.29,UNKNOWN,0,0,0,0,0,0,0
6006,UNKNOWN,0,0,0,0,0,0,0
6047.71,UNKNOWN,0,0,0,0,0,0,0
6089.42,UNKNOWN,0,0,0,0,0,0,0
6131.12,UNKNOWN,0,0,0,0,0,0,0
6172.83,UNKNOWN,0,0,0,0,0,0,0
6214.54,UNKNOWN,0,0,0,0,0,0,0
6256.25,UNKNOWN,0,0,0,0,0,0,0
6297.96,UNKNOWN,0,0,0,0,0,0,0
6339.67,UNKNOWN,0,0,0,0,0,0,0
6381.38,UNKNOWN,0,0,0,0,0,0,0
6423.08,UNKNOWN,0,0,0,0,0,0,0
6464.79,UNKNOWN,0,0,0,0,0,0,0
6506.5,UNKNOWN,0,0,0,0,0,0,0
6548.21,UNKNOWN,0,0,0,0,0,0,0
6589.92,UNKNOWN,0,0,0,0,0,0,0
6631.62,UNKNOWN,0,0,0,0,0,0,0
6673.33,UNKNOWN,0,0,0,0,0,0,0
6715.04,UNKNOWN,0,0,0,0,0,0,0
6756.75,UNKNOWN,0,0,0,0,0,0,0
6798.46,UNKNOWN,0,0,0,0,0,0,0
6840.17,UNKNOWN,0,0,0,0,0,0,0
6881.88,UNKNOWN,0,0,0,0,0,0,0
6923.58,UNKNOWN,0,0,0,0,0,0,0
6965.29,UNKNOWN,0,0,0,0,0,0,0
7007,UNKNOWN,0,0,0,0,0,0,0
7048.71,UNKNOWN,0,0,0,0,0,0,0
7090.42,UNKNOWN,0,0,0,0,0,0,0
7132.13,UNKNOWN,0,0,0,0,0,0,0
7173.83,UNKNOWN,0,0,0,0,0,0,0
7215.54,UNKNOWN,0,0,0,0,0,0,0
7257.25,UNKNOWN,0,0,0,0,0,0,0
7298.96,UNKNOWN,0,0,0,0,0,0,0
7340.67,UNKNOWN,0,0,0,0,0,0,0
7382.38,UNKNOWN,0,0,0,0,0,0,0
7424.08,UNKNOWN,0,0,0,0,0,0,0
7465.79,UNKNOWN,0,0,0,0,0,0,0
7507.5,UNKNOWN,0,0,0,0,0,0,0
7549.21,UNKNOWN,0,0,0,0,0,0,0
7590.92,UNKNOWN,0,0,0,0,0,0,0
7632.62,UNKNOWN,0,0,0,0,0,0,0
7674.33,UNKNOWN,0,0,0,0,0,0,0
