Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
2575.31,WIDE,0,0,0,0.0333333,0.0333333,0.933333,0
2617.02,WIDE,0,0,0,0.0333333,0.0333333,0.933333,0
2658.73,WIDE,0,0,0,0.0333333,0.0333333,0.933333,0
2700.44,WIDE,0,0,0,0.0333333,0.0333333,0.933333,0
2742.15,WIDE,0,0,0,0.0333333,0.0333333,0.933333,0
2783.85,WIDE,0,0,0,0.0333333,0.0333333,0.933333,0
2825.56,WIDE,0,0,0,0.0333333,0,0.966667,0
2867.27,WIDE,0,0,0,0,0,1,0
2908.98,WIDE,0,0,0,0,0,1,0
2950.69,WIDE,0,0,0,0,0,1,0
2992.4,WIDE,0,0,0,0,0,1,0
3034.1,WIDE,0,0,0,0,0,1,0
3075.81,WIDE,0,0,0,0,0,1,0
3117.52,WIDE,0,0,0,0,0,1,0
3159.23,WIDE,0,0,0,0,0,1,0
3200.94,WIDE,0,0,0,0,0,1,0
3242.65,WIDE,0,0,0,0,0,1,0
3284.35,WIDE,0,0,0,0,0,1,0
3326.06,WIDE,0,0,0,0,0,1,0
3367.77,WIDE,0,0,0,0,0,1,0
3409.48,WIDE,0,0,0,0,0,1,0
3451.19,WIDE,0,0,0,0,0,1,0
3492.9,WIDE,0,0,0,0,0,1,0
3534.6,WIDE,0,0,0,0,0,1,0
3576.31,WIDE,0,0,0,0,0,1,0
3618.02,WIDE,0,0,0,0,0,1,0
3659.73,WIDE,0,0,0,0,0,1,0
3701.44,WIDE,0,0,0,0,0,1,0
3743.15,WIDE,0,0,0,0,0,1,0
3784.85,WIDE,0,0,0,0,0,1,0
3826.56,WIDE,0,0,0,0,0,1,0
3868.27,WIDE,0,0,0,0,0,1,0
3909.98,WIDE,0,0,0,0,0,1,0
3951.69,WIDE,0,0,0,0,0,1,0
3993.4,WIDE,0,0,0,0,0.0333333,0.966667,0
4035.1,WIDE,0,0,0,0,0.0333333,0.966667,0
4076.81,WIDE,0,0,0,0,0.0333333,0.966667,0
4118.52,WIDE,0,0,0,0,0.0333333,0.966667,0
4160.23,WIDE,0,0,0,0,0.0333333,0.966667,0
4201.94,WIDE,0,0,0,0,0.0333333,0.966667,0
4243.65,WIDE,0,0,0,0,0.0333333,0.966667,0
4285.35,WIDE,0,0,0,0,0.0333333,0.966667,0
4327.06,WIDE,0,0,0,0,0.0333333,0.966667,0
4368.77,WIDE,0,0,0,0,0.0333333,0.966667,0
4410.48,WIDE,0,0,0,0,0.0333333,0.966667,0
4452.19,WIDE,0,0,0,0,0.0333333,0.966667,0
4493.9,WIDE,0,0,0,0,0.0333333,0.966667,0
4535.6,WIDE,0,0,0,0,0.0333333,0.966667,0
4577.31,WIDE,0,0,0,0,0.0333333,0.966667,0
4619.02,WIDE,0,0,0,0,0.0333333,0.966667,0
4660.73,WIDE,0,0,0,0.0333333,0.0333333,0.933333,0
4702.44,WIDE,0,0,0,0.0666667,0.0333333,0.9,0
4744.15,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
4785.85,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
4827.56,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
4869.27,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
4910.98,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
4952.69,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
4994.4,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
5036.1,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
5077.81,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
5119.52,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
5161.23,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
5202.94,WIDE,0,0,0,0.0666667,0.0666667,0.866667,0
5244.65,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5286.35,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5328.06,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5369.77,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5411.48,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5453.19,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5494.9,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5536.6,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5578.31,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5620.02,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5661.73,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5703.44,WIDE,0,0,0,0.1,0.0333333,0.866667,0
5745.15,WIDE,0,0,0,0.1,0.0333333,0.866667,0
